ID,Name,Year,Rank,Average,Bayes average,Users rated,URL,Thumbnail,ImageURL
400203,Snails,2024,4294,7.78,5.831,458,/boardgame/400203/snails,https://cf.geekdo-images.com/0bcsOFsY1fRas12uNKhoXg__micro/img/buDTqMgc41HrOZEqhvRANeK4cUg=/fit-in/64x64/filters:strip_icc()/pic8079561.jpg,https://cf.geekdo-images.com/0bcsOFsY1fRas12uNKhoXg__original/img/_dGOStAx6GXHf09TezhvJroPYO4=/0x0/filters:format(jpeg)/pic8079561.jpg
376223,The Hunt,2023,4295,6.99,5.831,662,/boardgame/376223/the-hunt,https://cf.geekdo-images.com/0arItwGzq18W-v-pQrN1TQ__micro/img/Y49TmykVqmwtMZV298guE97-8Ok=/fit-in/64x64/filters:strip_icc()/pic7219958.jpg,https://cf.geekdo-images.com/0arItwGzq18W-v-pQrN1TQ__original/img/9G5IM7lS4z72BXdxM9GTG5CU4B8=/0x0/filters:format(jpeg)/pic7219958.jpg
423434,Horrified: World of Monsters,2024,4296,7.28,5.83,550,/boardgame/423434/horrified-world-of-monsters,https://cf.geekdo-images.com/vAXjjR0NGxe6ByES2O3smg__micro/img/2-UnPbjWbYAm4csiiUF-Z4oBKgk=/fit-in/64x64/filters:strip_icc()/pic8266078.png,https://cf.geekdo-images.com/vAXjjR0NGxe6ByES2O3smg__original/img/Ro19pEA3_7tDVcXNO8GZcaGMUEw=/0x0/filters:format(png)/pic8266078.png
322499,Red Dust Rebellion,2024,4297,8.1,5.83,340,/boardgame/322499/red-dust-rebellion,https://cf.geekdo-images.com/tY4RlqzxpkIXHEgyzsBEuw__micro/img/35GkBYTWDGOyDUz8jbSslqd4QZs=/fit-in/64x64/filters:strip_icc()/pic7977394.jpg,https://cf.geekdo-images.com/tY4RlqzxpkIXHEgyzsBEuw__original/img/iwTgJRaE2rcxoep6U9zBaRjK9Lg=/0x0/filters:format(jpeg)/pic7977394.jpg
420361,Trekking the World: Second Edition,2024,4299,7.6,5.83,433,/boardgame/420361/trekking-the-world-second-edition,https://cf.geekdo-images.com/J2j1fr5yNJwSiU-UxADIjQ__micro/img/FYbeduxzBdMidmMn2yJN6PdYUKE=/fit-in/64x64/filters:strip_icc()/pic8180904.jpg,https://cf.geekdo-images.com/J2j1fr5yNJwSiU-UxADIjQ__original/img/Pg-Fyoh53s6vS3VP-0EOTR2YXPk=/0x0/filters:format(jpeg)/pic8180904.jpg
189664,The Hunted: Twilight of the U-Boats   1943-45,2020,4306,8.03,5.83,421,/boardgame/189664/the-hunted-twilight-of-the-u-boats-1943-45,https://cf.geekdo-images.com/bJJkeM_xu0TXWHDYXK-OXA__micro/img/KPf0233g6Ve9zHrDeJImX8OfxLU=/fit-in/64x64/filters:strip_icc()/pic3051764.jpg,https://cf.geekdo-images.com/bJJkeM_xu0TXWHDYXK-OXA__original/img/F6mfAHBtUPfJwzLo2gugA0pIe2s=/0x0/filters:format(jpeg)/pic3051764.jpg
376610,Blueprints of Mad King Ludwig,2024,4311,7.41,5.829,487,/boardgame/376610/blueprints-of-mad-king-ludwig,https://cf.geekdo-images.com/inSFynpmGq7s4Dx9IYZnRw__micro/img/2tk3pFjCABjSgFG5EAcCtdqZoCA=/fit-in/64x64/filters:strip_icc()/pic7275398.jpg,https://cf.geekdo-images.com/inSFynpmGq7s4Dx9IYZnRw__original/img/HAW5RNmbjYQOY4U2TsWK4RoT43s=/0x0/filters:format(jpeg)/pic7275398.jpg
408381,War Story: Occupied France,2024,4312,8.13,5.829,344,/boardgame/408381/war-story-occupied-france,https://cf.geekdo-images.com/kedUDUJuL-2GxKrLYexcBg__micro/img/OW4RUl6EG5_F3ULwdBStD72heVM=/fit-in/64x64/filters:strip_icc()/pic7951468.jpg,https://cf.geekdo-images.com/kedUDUJuL-2GxKrLYexcBg__original/img/oN7EQD5l4C8tLliBg8d-1vJ4QwA=/0x0/filters:format(jpeg)/pic7951468.jpg
199182,Commands & Colors Tricorne: The American Revolution,2017,4315,8.24,5.829,332,/boardgame/199182/commands-and-colors-tricorne-the-american-revoluti,https://cf.geekdo-images.com/NmUJcSF7CVVbEuKvChyJLA__micro/img/Cv74v2exXXR0XIjsXG6uoQkg4F4=/fit-in/64x64/filters:strip_icc()/pic3204819.jpg,https://cf.geekdo-images.com/NmUJcSF7CVVbEuKvChyJLA__original/img/_2RQ9fu90dMmDWTMWse1Ao_9O60=/0x0/filters:format(jpeg)/pic3204819.jpg
309917,Hidden Games Crime Scene: The Midnight Crown,2020,4320,7.92,5.829,361,/boardgame/309917/hidden-games-crime-scene-the-midnight-crown,https://cf.geekdo-images.com/6U9JpDzyEp7FO_nSrVRwKA__micro/img/rBKbdxiJHcB9JQGB57P0K3wU0e4=/fit-in/64x64/filters:strip_icc()/pic6784602.jpg,https://cf.geekdo-images.com/6U9JpDzyEp7FO_nSrVRwKA__original/img/YnxTzAv4c2xhkvH1WGBeQu-KdFw=/0x0/filters:format(jpeg)/pic6784602.jpg
